polity2,Year,CCode,sanctions,sanctionsl1,dpolity,S,W,ndpolity,ds,dw,lagus,lagun,lagpopgled,laggdpchng,GDP_UN,pop1,logpop,MEast,demaut,lGDP_UN,dpolityb,Pdpolity,menergy,senergy,mindustry,sindustry,murban,surban
10,1983,352,0,0,0,NA,0.75,0,0,0,0,0,6.43775,6.3,3418,655,2.81624129999178,0,1,8.13681086367554,0,0.0140252454417952,6.01028407606265,1.9663357013262,32.7994752172136,12.2352907060828,250,0
10,1984,352,0,0,0,NA,0.75,0,NA,-0.25,0,0,6.44889,5.3,3553,668,2.82477646247555,0,1,8.17554759602103,0,0.0140252454417952,5.61291625678957,2.74669288920627,34.9387498058141,13.9745491195861,257,0
10,1985,352,0,0,0,NA,0.75,0,NA,0,0,0,6.46147,8.8,3735,681,2.83314711191279,0,1,8.22550309756692,0,0.0140252454417952,5.6882728111465,2.40824005043227,35.7347157501483,16.9060388727832,264,0
10,1986,352,0,0,0,NA,0.75,0,NA,0,0,0,6.47389,4.7,4725,694,2.84135947045485,0,1,8.46062283992784,0,0.0140252454417952,6.68983269098041,2.72373528322007,38.4800629881492,13.5515816920535,271,0
10,1987,352,0,0,0,NA,0.75,0,NA,0,0,0,6.48311,3.8,5614,707,2.8494194137969,0,1,8.63301875692183,0,0.0140252454417952,5.46495897223655,3.84324671396411,36.5907240613332,17.2018677735425,279,0
10,1988,352,0,0,0,NA,0.75,0,NA,0,0,0,6.49224,7.1,6421,721,2.85793526471943,0,1,8.76732914779405,0,0.0140252454417952,6.06900432449122,2.06323799379317,34.5905502222694,13.6965873411362,287,0
10,1989,352,0,0,0,NA,0.75,0,NA,0,0,0,6.49979,8.3,6790,735,2.86628733908419,0,1,8.82320622055274,0,0.0140252454417952,5.16813062655215,2.54255938617156,32.9537042783308,13.1165517738636,295,0
10,1990,352,0,0,0,NA,0.75,0,NA,0,0,0,6.50877,8.1,8198,749,2.87448181769947,0,1,9.01164550106428,0,0.0140252454417952,5.17077672664659,2.61996480312573,39.8866599109624,14.5674965243581,303,0
10,1991,352,0,0,0,NA,0.75,0,NA,0,0,0,6.52356,7.4,8327,763,2.88252453795488,0,1,9.02725852623582,0,0.0140252454417952,6.42554766019753,2.49624809777814,52.8537706421295,9.70585639694714,311,0
10,1992,352,0,0,0,NA,0.75,0,NA,0,0,0,6.54247,0.7,9795,778,2.89097959698969,0,1,9.18962733037864,0,0.0140252454417952,5.87943631525344,3.17297244525476,43.6056484181352,16.1722185322359,320,0
10,1993,352,0,0,0,NA,0.75,0,NA,0,0,0,6.56103,9.4,9163,794,2.8998205024271,0,1,9.12292891496521,0,0.0140252454417952,5.00816274791124,3.48536880975997,45.365793725963,17.0303763427814,324,0
10,1994,352,0,0,0,NA,0.75,0,NA,0,0,0,6.57647,0.7,10130,809,2.90794852161227,0,1,9.22325659724273,0,0.0140252454417952,4.71112065947059,2.54960968294587,38.8028718850554,14.5901326705308,329,0
10,1995,352,0,0,0,NA,0.75,0,NA,0,0,0,6.58755,5.8,11907,825,2.91645394854993,0,1,9.38488174145117,0,0.0140252454417952,5.73495686069442,2.7706611278425,49.7231853441567,18.8979389589066,333,0
10,1996,352,0,0,0,NA,0.75,0,NA,0,0,0,6.59715,6.1,11838,846,2.92531209149965,0,1,9.37906997525067,0,0.0140252454417952,5.52247276997154,3.24471590756071,47.4212893605195,14.065394096395,338,0
10,1997,352,0,0,0,NA,0.75,0,NA,0,0,0,6.60665,1.9,11157,864,2.931457870689,0,1,9.31982238259318,0,0.0140252454417952,5.73028799711905,2.07434089706976,42.4200836177999,12.7519269978217,342,0
10,1998,352,0,0,0,NA,0.75,0,NA,0,0,0,6.60665,2.5,11777,880,2.93701610746481,0,1,9.37390375584155,0,0.0140252454417952,5.96405399339711,2.76664875077611,45.8137744480386,12.9208861245426,347,0
10,1999,352,0,0,0,NA,0.75,0,NA,0,0,0,6.60665,4.9,11906,898,2.9434945159061,0,1,9.38479775371334,0,0.0140252454417952,5.79381750033839,3.10449524329962,44.8377176568497,12.36428950799,351,0
10,2000,352,1,0,0,NA,0.75,0,NA,0,0,0,6.60665,4.6,11259,916,2.94987770403687,0,1,9.32892308780313,0,0.0140252454417952,5.82503004782074,2.67943610366629,52.1508077480059,11.9244876930317,356,0
10,2001,352,1,1,0,NA,0.75,0,NA,0,0,0,6.60665,5.1,11552,934,2.9532763366673,0,1,9.35461386113261,0,0.0140252454417952,6.67776448939064,2.63023970049821,52.7122040544749,14.1335359293593,361,0
-7,1972,355,0,0,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,8580,3.93348728784871,0,0.150000005960464,NA,NA,0.06426735218509,7.09007683577609,9.19352006979263e-16,51,0,1927,0
